track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,youtube_likes,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,release_year
AMG,AMG,Natanael Cano,2022-11-24,QZ9QQ2200105,715,57.3,674025091.0,70.0,323942993.0,1575190.0,37825840.0,12306.0,3224599.0,967374.0,1,2022
Bandido,Bandido,Myke Towers,2020-12-10,QMFME2047291,717,57.2,700122551.0,68.0,1036334853.0,4939844.0,65588409.0,12642.0,3224599.0,2128888.0,0,2020
Karma,Karma,JoJo Siwa,2024-04-05,USSM12401851,716,57.2,17310258.0,67.0,43892777.0,368031.0,197930.0,8389.0,277552.0,77101.0,0,2024
El Gordo Trae El Mando,El Gordo Trae El Mando,Chino Pacas,2023-01-27,FR10S2386363,720,57.1,545234876.0,76.0,178469204.0,907782.0,32580707.0,6191.0,3224599.0,1226973.0,1,2023
Ya No Tengo Tu Love,Origami,Sie7e,2023-12-06,QZHN22300206,718,57.1,4561175.0,67.0,5599363.0,109997.0,6321.0,42.0,3224599.0,46729.0,0,2023
52 Gaj Ka Daman,52 Gaj Ka Daman,Renuka Panwar,2020-10-02,INV772001001,719,57.1,48929060.0,52.0,1736697874.0,8477892.0,12735768.5,7832.0,3224599.0,148140.0,0,2020
FTCU,Pink Friday 2,Nicki Minaj,2023-12-08,USUM72318679,722,57.0,167977668.0,67.0,38901823.0,551972.0,8607928.0,7135.0,3224599.0,819021.0,1,2023
Go Crazy,Slime & B,Young Thug,2020-05-05,USRC12001468,721,57.0,699336080.0,68.0,363333168.0,3159553.0,242208093.0,80706.0,2515804.0,5747453.0,1,2020
La Jumpa,La Jumpa,Arcï¿½ï¿½,2022-11-30,QMDA72252608,726,56.9,716829483.0,68.0,131057530.0,1300009.0,12867947.0,4374.0,3224599.0,1521416.0,1,2022
I Don't Care,I Don't Care - Single,Boy Spyce,2024-02-23,NGA3B2318016,723,56.9,3475009.0,67.0,3869518.0,43717.0,95539.0,18.0,3224599.0,286125.0,0,2024
Roar,2013 The Hottest,Katy Perry,2013-01-01,USUM71308669,725,56.9,1156191242.0,73.0,4386626671.0,19822950.0,12735768.5,7832.0,3224599.0,1261.0,0,2013
No Guidance (feat. Drake),No Guidance (feat. Drake),Chris Brown,2019-06-08,USRC11901583,724,56.9,1030515485.0,70.0,809218963.0,5861900.0,403683186.0,181600.0,3524264.0,8062187.0,1,2019
34+35,Positions,Ariana Grande,2020-10-30,USUM72020423,727,56.8,978617707.0,70.0,722372895.0,11582120.0,69822231.0,54449.0,3224599.0,1769544.0,1,2020
Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,QMFME2102684,728,56.8,675763141.0,68.0,881072427.0,29073682.0,3883730.0,8899.0,3224599.0,1730648.0,0,2021
changes,changes,XXXTENTACION,2018-03-02,USUG11800211,729,56.8,1366479990.0,70.0,1002422657.0,14134657.0,138516743.0,187030.0,50737522.0,4184844.0,0,2018
Tell Ur Girlfriend,Tell Ur Girlfriend,Lay Bankz,2024-02-07,QZZ4J2400019,730,56.7,167431139.0,90.0,28987197.0,443524.0,579514.0,5469.0,2893625.0,932674.0,1,2024
SPIDER,SPIDER,GIMS,2024-05-10,FR8FB2407800,731,56.6,26972053.0,76.0,18860058.0,231781.0,12735768.5,7832.0,3224599.0,396272.0,0,2024
Sunday Best,Where the Light Is,Surfaces,2018-08-28,TCAEA1802695,733,56.6,952626904.0,16.0,195696821.0,2597296.0,125033350.0,197341.0,3224599.0,3892098.0,0,2018
Guli Mata,Guli Mata,Saad Lamjarred,2023-07-12,USA2P2331239,734,56.6,75152048.0,62.0,386890237.0,4145747.0,12735768.5,7832.0,3224599.0,1154213.0,0,2023
HOLA PERDIDA,HOLA PERDIDA,Luck Ra,2024-01-05,CLPP22300118,732,56.6,110573724.0,69.0,143032680.0,568468.0,17295.0,37.0,3224599.0,135309.0,0,2024
Better,Better,Khalid,2018-09-14,USRC11803179,736,56.5,1355539058.0,72.0,1260752640.0,6104356.0,525201971.0,193586.0,3224599.0,6630901.0,0,2018
Substitution,Substitution,Purple Disco Machine,2023-03-30,DEE862300093,737,56.4,218035732.0,72.0,87739719.0,494331.0,31259.0,76.0,3224599.0,3546222.0,0,2023
Automotivo Bibi Fogosa,Automotivo Bibi Fogosa,Bibi Babydoll,2023-05-19,QZMZ92361338,739,56.4,267867000.0,36.0,109440296.0,1722866.0,12735768.5,7832.0,845.0,3212495.0,1,2023
MERCHO,MERCHO,LiL CaKe,2022-12-16,ARF102200411,738,56.4,366462735.0,67.0,184622271.0,842979.0,12735768.5,7832.0,3224599.0,769452.0,0,2022
Bandook,Bandook,Nirvair Pannu,2020-05-30,FR96X2024977,740,56.4,40178056.0,54.0,156528470.0,1410824.0,12735768.5,7832.0,3224599.0,95575.0,0,2020
Miï¿½ï¿½n,Miï¿½ï¿½n,TINI,2021-04-29,USHR12141512,742,56.3,723722454.0,73.0,869498397.0,4948905.0,6768367.0,3258.0,3224599.0,1358270.0,0,2021
Trap Queen,Trap Queen,Fetty Wap,2014-12-15,QM7XC1400004,744,56.2,1182373720.0,70.0,1260463421.0,8611729.0,12735768.5,7832.0,205958155.0,9253461.0,1,2014
METAMORPHOSIS,METAMORPHOSIS,INTERWORLD,2021-11-25,QZS642102633,746,56.2,624007138.0,76.0,300340121.0,3913127.0,2406709.0,5823.0,34791272.0,2577920.0,1,2021
Botella Tras Botella,Botella Tras Botella,Gera MX,2021-04-23,MXUM62100001,747,56.2,647496971.0,71.0,895962908.0,7617641.0,83951107.0,44360.0,3224599.0,2239738.0,0,2021
"Me, Myself & I","Me, Myself & I",G-Eazy,2015-10-14,USRC11502210,745,56.2,1280838046.0,73.0,807688972.0,6060762.0,610892547.0,348211.0,3224599.0,10221814.0,1,2015
"Steal The Show - From ""Elemental""","Steal The Show (From ""Elemental"")",Lauv,2023-06-02,USWD12326770,749,56.1,117717973.0,68.0,198045947.0,1142920.0,1551964.0,6140.0,358836.0,1696007.0,0,2023
Lut Gaye,Lut Gaye,Jubin Nautiyal,2021-02-17,INS182100281,751,56.1,171856399.0,56.0,1524735898.0,11671430.0,12735768.5,7832.0,3224599.0,826805.0,0,2021
Piel,Piel,Tiago PZK,2024-02-01,USWL12400226,748,56.1,128833634.0,79.0,114263622.0,572164.0,100637.0,199.0,3224599.0,307811.0,1,2024
Pasoori,Pasoori,Shae Gill,2022-02-06,FR10S2289473,750,56.1,346971014.0,65.0,928440031.0,9495255.0,12735768.5,7832.0,3224599.0,673415.0,0,2022
the boy is mine,eternal sunshine,Ariana Grande,2024-03-08,USUM72317268,752,56.0,175336290.0,80.0,44458370.0,1448800.0,1253330.0,1313.0,873706.0,209987.0,1,2024
When We Were Young (The Logical Song),When We Were Young (The Logical Song),David Guetta,2023-11-10,UKWLG2300117,754,55.9,158952262.0,3.0,31073689.0,328486.0,2844763.0,121.0,805036.0,1754057.0,0,2023
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nu King,Jason Derulo,2024-02-16,USAT22400762,755,55.9,239850720.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,10744906.0,0,2024
Lay Low,Lay Low,Tiï¿½ï¿,2023-01-06,NLZ542202348,756,55.9,406141247.0,70.0,91367578.0,707830.0,12735768.5,7832.0,1772021.0,3933085.0,0,2023
Bounce When She Walk,Bounce When She Walk,Ohboyprince,2023-02-03,QZFZ72321643,753,55.9,18637452.0,45.0,6534668.0,116631.0,203441.0,1633.0,3224599.0,1081839.0,1,2023
"Apna Bana Le (From ""Bhediya"")","Apna Bana Le (From ""Bhediya"")",Arijit Singh,2022-11-05,INZ031411736,757,55.8,250599391.0,66.0,642774625.0,4620243.0,12735768.5,7832.0,3224599.0,476013.0,0,2022
Hold My Hand,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,2022-05-03,USUM72206231,759,55.7,315680664.0,69.0,317472115.0,2373170.0,45731400.0,18758.0,3224599.0,5802558.0,0,2022
Big Energy,Big Energy - Single,Latto,2021-09-24,USRC12102454,758,55.7,324162855.0,61.0,60970543.0,695638.0,104995029.0,62461.0,3224599.0,5969740.0,1,2021
Goodbyes (feat. Young Thug),Goodbyes (Feat. Young Thug),Post Malone,2019-07-05,USUM71912330,761,55.6,1263989128.0,72.0,795828166.0,8115938.0,230614636.0,107631.0,18209981.0,5216769.0,1,2019
Location,Location,Khalid,2016-05-24,TCACO1662934,760,55.6,1369299352.0,71.0,815137609.0,5138837.0,471086924.0,389023.0,122419042.0,4283369.0,0,2016
Italodisco,Italodisco,The Kolors,2023-05-05,ITQ002300342,762,55.4,142141861.0,67.0,142319744.0,819805.0,32117.0,172.0,3224599.0,3570846.0,1,2023
Perfect Night,Perfect Night,LE SSERAFIM,2023-10-27,USA2P2349660,763,55.4,279667395.0,78.0,93707680.0,1139367.0,493236.0,443.0,984170.0,435036.0,0,2023
Vida de Rico,Vida de Rico,Camilo,2020-09-21,USSD12000388,767,55.4,568823269.0,64.0,1094129734.0,7637000.0,21813224.0,14722.0,3224599.0,1819660.0,0,2020
Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,2023-04-07,USQX92302369,765,55.4,432988420.0,67.0,194658217.0,1261625.0,33073012.0,10830.0,3224599.0,1407776.0,0,2023
In My Feelings,Scorpion,Drake,2018-06-29,USCM51800206,766,55.4,1389607643.0,68.0,749282095.0,9464140.0,344214850.0,668750.0,3224599.0,7188287.0,1,2018
You Broke My Heart,For All The Dogs Scary Hours Edition,Drake,2023-10-06,USUG12309646,764,55.4,123522254.0,67.0,21213402.0,365281.0,11677247.0,5338.0,5254476.0,814161.0,1,2023
Zhurek,Zhurek,Adam,2023-10-06,DGA0M2333309,770,55.3,8893883.0,67.0,238585397.0,1478754.0,12735768.5,7832.0,3224599.0,3415610.0,0,2023
In The End,In the End,Tommee Profitt,2018-04-06,TCADO1871408,771,55.2,85068645.0,52.0,1615682416.0,16097448.0,850756.0,1833.0,3224599.0,8985174.0,0,2018
Took Her To The O,Took Her To The O,King Von,2020-02-21,USUYG1296663,772,55.1,497832707.0,74.0,265905159.0,2363958.0,33625448.0,44231.0,86394034.0,1146823.0,1,2020
Boyfriend,Boyfriend,Dove Cameron,2022-02-11,USQX92200693,774,55.1,637836235.0,68.0,182917309.0,3547237.0,54288683.0,24559.0,3224599.0,2178227.0,1,2022
Orquestra Maldita,Orquestra Maldita,TRASHXRL,2023-06-15,SGW502301764,773,55.1,119445482.0,14.0,52878314.0,712327.0,12735768.5,7832.0,3224599.0,854584.0,1,2023
Sucker,Sucker,Jonas Brothers,2019-03-01,USUG11900515,775,55.0,1411856834.0,73.0,641158161.0,9661491.0,281820508.0,190779.0,3224599.0,6948452.0,0,2019
Alone,Alone,Marshmello,2016-05-13,CA6D21600147,776,55.0,561103984.0,65.0,3130843590.0,32799797.0,43619580.0,201447.0,3224599.0,3223632.0,0,2016
